id,name,category,item,price,img_s1,img_s2,img_s3,img_s4,img_s5,img_m,created_at,updated_at,valid,description
1,【特選黑羽雞翅】汝拉箭6枚1913年 (5),2,3,8000,A04s10001.jpeg,A04s20001.jpeg,arrow-info1.png,arrow-info2.png,arrow-info3.png,A04s10001.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,這是一款可靠的經典箭頭，帶有黑色翅膀（雞翅），採用廣受歡迎的伊斯頓硬鋁箭桿，它比火雞羽毛更不易磨損，建議經常練習的人使用。
2,【特選黑羽雞翅】汝拉箭6枚1913年 (8),2,3,8000,A04s10002.jpeg,arrow-info1.png,arrow-info2.png,arrow-info3.png,arrow-info4.png,A04s10002.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,這是一款可靠的經典箭頭，帶有黑色翅膀（雞翅），採用廣受歡迎的伊斯頓硬鋁箭桿。它比火雞羽毛更不易磨損，建議經常練習的人使用。
3,【特選黑羽雞翅】汝拉箭 6枚 1913 (10),2,3,8000,A04s10003.jpeg,A04s20003.jpeg,arrow-info1.png,arrow-info2.png,arrow-info3.png,A04s10003.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,這是一款可靠的經典箭頭，帶有黑色翅膀（雞翅），採用廣受歡迎的伊斯頓硬鋁箭桿，它比火雞羽毛更不易磨損，建議經常練習的人使用。
4,【特選黑羽雞翅】汝拉箭 6枚 1913 (14),2,3,8000,A04s10004.jpeg,arrow-info1.png,arrow-info2.png,arrow-info3.png,arrow-info4.png,A04s10004.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,這是一款可靠的經典箭頭，帶有黑色翅膀（雞翅），採用廣受歡迎的伊斯頓硬鋁箭桿。它比火雞羽毛更不易磨損，建議經常練習的人使用。
5,【特選黑羽雞翅】汝拉箭 6枚 1913 (17),2,3,8000,A04s10005.jpeg,arrow-info1.png,arrow-info2.png,arrow-info3.png,arrow-info4.png,A04s10005.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,這是一款可靠的經典箭頭，帶有黑色翅膀（雞翅），採用廣受歡迎的伊斯頓硬鋁箭桿，它比火雞羽毛更不易磨損，建議經常練習的人使用。
6,[特選黑羽雞翅] Jura Arrow 6枚 2014年 (9),2,3,8000,A04s10006.jpeg,A04s20006.jpeg,arrow-info1.png,arrow-info2.png,arrow-info3.png,A04s10006.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,這是一款可靠的經典箭頭，帶有黑色翅膀（雞翅），採用廣受歡迎的伊斯頓硬鋁箭桿。它比火雞羽毛更不易磨損，建議經常練習的人使用。
7,[特選黑羽雞翅] Jura Arrow 6枚 2014 (12),2,3,8000,A04s10007.jpeg,A04s20007.jpeg,arrow-info1.png,arrow-info2.png,arrow-info3.png,A04s10007.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,這是一款可靠的經典箭頭，帶有黑色翅膀（雞翅），採用廣受歡迎的伊斯頓硬鋁箭桿，它比火雞羽毛更不易磨損，建議經常練習的人使用。
8,[特選黑羽雞翅] Jura Arrow 6枚 2015 (1),2,3,8000,A04s10008.jpeg,arrow-info1.png,arrow-info2.png,arrow-info3.png,arrow-info4.png,A04s10008.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,這是一款可靠的經典箭頭，帶有黑色翅膀（雞翅），採用廣受歡迎的伊斯頓硬鋁箭桿。它比火雞羽毛更不易磨損，建議經常練習的人使用。
9,[特選黑羽雞翅] Jura Arrow 6枚 2015 (11),2,3,8000,A04s10009.jpeg,arrow-info1.png,arrow-info2.png,arrow-info3.png,arrow-info4.png,A04s10009.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,這是一款可靠的經典箭頭，帶有黑色翅膀（雞翅），採用廣受歡迎的伊斯頓硬鋁箭桿，它比火雞羽毛更不易磨損，建議經常練習的人使用。
10,[特選黑羽雞翅] Jura Arrow 6枚 2015 (16),2,3,8000,A04s10010.jpeg,arrow-info1.png,arrow-info2.png,arrow-info3.png,arrow-info4.png,A04s10010.jpeg,2023/7/19  17:04:28,00/00/00 00:00:00,1,這是一款可靠的經典箭頭，帶有黑色翅膀（雞翅），採用廣受歡迎的伊斯頓硬鋁箭桿。它比火雞羽毛更不易磨損，建議經常練習的人使用。
